epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,11740.4,1.30839,1.21281,0.01582,0.79015,0.63329,0.73223,0.45273,1.41707,1.06882,0.02116,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12018,1.31209,1.20662,0.01586,0.78645,0.63806,0.73324,0.45372,1.41598,1.06475,0.02114,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12294.3,1.30445,1.20106,0.01574,0.78686,0.6394,0.73519,0.45462,1.41391,1.0664,0.02112,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12571.2,1.29652,1.18186,0.01553,0.78832,0.64007,0.73557,0.45538,1.41181,1.0643,0.02106,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12840.7,1.29548,1.17392,0.01553,0.78119,0.64637,0.73609,0.45765,1.41005,1.06334,0.02101,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13117,1.2894,1.18316,0.01554,0.78298,0.64159,0.73461,0.45738,1.40875,1.06233,0.02096,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13396.2,1.28468,1.15659,0.01529,0.77274,0.64875,0.73474,0.45894,1.40808,1.05636,0.02094,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13670.1,1.27368,1.14253,0.0152,0.78693,0.64225,0.7388,0.46085,1.40368,1.05596,0.02088,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13941.9,1.27181,1.14323,0.01521,0.7859,0.64166,0.73798,0.4603,1.4032,1.05311,0.02087,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14219.3,1.26911,1.13194,0.01502,0.7894,0.64588,0.73998,0.46214,1.3995,1.05457,0.0208,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14500.5,1.26286,1.13039,0.01492,0.79297,0.64257,0.74082,0.46289,1.39988,1.04939,0.02079,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14777.2,1.25515,1.10868,0.01497,0.78814,0.64676,0.74231,0.46406,1.39785,1.04862,0.02076,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15055.5,1.25006,1.10004,0.01479,0.79817,0.64206,0.744,0.46568,1.39712,1.04681,0.02074,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15332,1.24531,1.09374,0.01474,0.79774,0.64429,0.74434,0.4666,1.39641,1.04503,0.02072,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15607.4,1.23577,1.06835,0.01461,0.79458,0.6468,0.74444,0.46744,1.39699,1.04179,0.02072,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,15884.8,1.23868,1.07538,0.01459,0.79688,0.64841,0.74539,0.46802,1.39673,1.03834,0.02068,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,16166,1.22929,1.05908,0.0144,0.7865,0.65538,0.74706,0.46943,1.39742,1.03145,0.02067,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,16441.5,1.23351,1.04962,0.01452,0.78741,0.65782,0.74806,0.47008,1.3968,1.02797,0.02067,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,16717.7,1.21677,1.04549,0.01427,0.79049,0.65799,0.74943,0.47169,1.39485,1.02472,0.02063,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,16994.8,1.2037,1.04463,0.01402,0.79296,0.65782,0.74971,0.47237,1.3938,1.02474,0.02061,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,17270.4,1.2063,1.02164,0.01401,0.79289,0.65789,0.75028,0.47358,1.39388,1.01863,0.0206,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,17545.4,1.19479,1.01961,0.01392,0.7907,0.66151,0.75105,0.47476,1.39269,1.01698,0.02056,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17820.4,1.19632,1.00389,0.01389,0.78962,0.66326,0.75165,0.47577,1.38883,1.01869,0.0205,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,18096,1.18533,1.002,0.01373,0.79643,0.6636,0.75322,0.47821,1.38425,1.01745,0.02043,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,18371,1.18107,0.98855,0.01373,0.78812,0.66586,0.75374,0.4791,1.38124,1.01628,0.02038,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18646.4,1.17073,0.98079,0.01359,0.79344,0.66486,0.75394,0.47974,1.37858,1.01612,0.0203,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,18923,1.17043,0.96852,0.01347,0.79328,0.66853,0.75475,0.48142,1.37894,1.00932,0.0203,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,19198.6,1.16632,0.97118,0.01356,0.79859,0.66137,0.75457,0.48239,1.37572,1.01192,0.02025,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,19475.6,1.15559,0.94128,0.01336,0.79457,0.66772,0.75567,0.48442,1.37625,1.00713,0.02025,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,19757.6,1.15302,0.93707,0.01328,0.79605,0.6683,0.75546,0.4841,1.37535,1.00599,0.02024,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20034.4,1.14556,0.94022,0.01304,0.79331,0.66695,0.75554,0.48493,1.3741,1.00334,0.02023,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,20311.4,1.14017,0.92036,0.01301,0.79201,0.66966,0.75541,0.48559,1.37448,0.99807,0.02023,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,20581.3,1.14063,0.91626,0.01296,0.79083,0.67256,0.75559,0.48697,1.37528,0.99318,0.02021,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,20857.7,1.13255,0.90965,0.01289,0.79479,0.67352,0.75754,0.48819,1.37385,0.99237,0.02018,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,21134.4,1.12212,0.89962,0.01265,0.80045,0.67275,0.75945,0.48955,1.37227,0.99056,0.02016,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
